2017-12-21 17:54:49.206 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-12-21 19:45:23.166 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 19:46:08.023 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 19:46:08.421 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 19:46:08.452 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 19:46:08.499 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 19:46:08.499 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 19:46:08.515 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 19:46:08.530 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 19:46:10.949 INFO  ClienteConsola.Program Sending ContadorAgua ct, NumSerie = 121
2017-12-21 19:46:11.074 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 19:46:11.132 INFO  ClienteConsola.MessageHandler Received DarAltaContadorAgua, Numero de Serie = 121
2017-12-21 19:46:15.841 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-12-21 19:46:15.873 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-12-21 20:55:42.852 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 20:55:43.233 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 20:55:43.260 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 20:55:43.300 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 20:55:43.307 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 20:55:43.314 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 20:55:43.355 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 20:55:46.001 INFO  ClienteConsola.Program Sending ContadorAgua ct, NumSerie = 3242
2017-12-21 20:55:46.104 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 22:32:26.587 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 22:32:26.930 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 22:32:26.955 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 22:32:26.998 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 22:32:27.006 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 22:32:27.012 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 22:32:27.045 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 22:32:34.352 INFO  ClienteConsola.Program Sending ContadorAgua ct, NumSerie = 3242
2017-12-21 22:32:34.460 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 22:33:42.393 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 22:33:42.810 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 22:33:42.845 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 22:33:42.882 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 22:33:42.889 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 22:33:42.897 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 22:33:42.949 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 22:33:46.624 INFO  ClienteConsola.Program Sending ContadorAgua ct, NumSerie = 3242
2017-12-21 22:33:46.719 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 22:33:53.564 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-12-21 22:33:53.615 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-12-21 23:01:43.527 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 23:01:44.064 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 23:01:44.089 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 23:01:44.128 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 23:01:44.135 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
